Timestamp,Participation_motives,Ehsan_features,Influencer_role,Campaign_Features,Campaign_type,Num_Contribution,Preferred_time,feedback,Notes,Gender
,,,,,,,,,,
,,,,,,,,,,
10/29/2023 21:20:44,"Releasing a prisoner or paying debt of a needy person., Post or support from a social media influencer., Sympathy and helping someone in need.","Easy-to-use website and mobile app., Trustworthy and credible campaigns., Multiple Secure payment options.",4,A detailed text discription of the campaign.,"Prisoners' Relief., Debt and overdue bills.",Occasionally (a few times a year),"On the month of Ramadan, On the day of Arafat",No,Null,Female
10/29/2023 21:36:48,"Post or support from a social media influencer., Belief in the power of collective contributions., Personal satisfaction and altruism.",Trustworthy and credible campaigns.,3,"Beneficiary's age, gender, marital status and number of kids., A detailed text discription of the campaign.","Prisoners' Relief., Disaster Relief.",Occasionally (a few times a year),"On the month of Ramadan, On the days of Hajj",no,Null,Female
10/29/2023 21:53:33,Releasing a prisoner or paying debt of a needy person.,Easy-to-use website and mobile app.,3,Campaign Goal amount and the percentage of current collected Amount.,Prisoners' Relief.,Occasionally (a few times a year),On the month of Ramadan,no,Null,Female
10/29/2023 21:56:34,"Post or support from a social media influencer., Sympathy and helping someone in need.",Trustworthy and credible campaigns.,3,A detailed text discription of the campaign.,"Prisoners' Relief., Disaster Relief.",Occasionally (a few times a year),On the days of Hajj,no,Null,Female
10/29/2023 22:02:51,"Belief in the power of collective contributions., Personal satisfaction and altruism.",Trustworthy and credible campaigns.,5,A detailed text discription of the campaign.,"Debt and overdue bills., Orphan sponsorship.",Occasionally (a few times a year),On the day of Arafat,No,Null,Female
10/29/2023 22:41:34,Post or support from a social media influencer.,Easy-to-use website and mobile app.,1,Campaign Goal amount and the percentage of current collected Amount.,Debt and overdue bills.,Frequently (more than once a month),On the days of Hajj,No,Null,Female
10/29/2023 22:55:29,"Sympathy and helping someone in need., Personal satisfaction and altruism.","Easy-to-use website and mobile app., A variety of campaign categories., Fast payment option.",4,"Beneficiary's age, gender, marital status and number of kids.",Debt and overdue bills.,Occasionally (a few times a year),On the month of Ramadan,No,Null,Male
10/29/2023 23:02:53,"Post or support from a social media influencer., Sympathy and helping someone in need.","Easy-to-use website and mobile app., Trustworthy and credible campaigns., Fast payment option.",4,"Beneficiary's age, gender, marital status and number of kids., Campaign Goal amount and the percentage of current collected Amount., A detailed text discription of the campaign.","Prisoners' Relief., Debt and overdue bills., Projects., Disaster Relief., Orphan sponsorship.",Occasionally (a few times a year),"On the month of Ramadan, On the days of Hajj, On the day of Arafat",No,Null,Female
10/29/2023 23:08:00,Post or support from a social media influencer.,Trustworthy and credible campaigns.,2,"Beneficiary's age, gender, marital status and number of kids.",Debt and overdue bills.,Occasionally (a few times a year),On the month of Ramadan,No,Null,Female
10/29/2023 23:31:23,"Sympathy and helping someone in need., Feeling a sense of community and connection.","Easy-to-use website and mobile app., A variety of campaign categories.",4,"Beneficiary's age, gender, marital status and number of kids.","Debt and overdue bills., Orphan sponsorship.",Rarely (once a year or less),On the month of Ramadan,I don’t have thank you ,Null,Female
